Id,Name
1,Air Force
2,Akron
3,Alabama
4,Arizona
5,Arizona State
6,Arkansas
7,Arkansas State
8,Army
9,Auburn
10,Ball State
11,Baylor
12,Boise State
13,Boston College
14,Bowling Green
15,Buffalo
16,BYU
17,California
18,Central Florida
19,Central Michigan
20,Cincinnati
21,Clemson
22,Colorado
23,Colorado State
24,Connecticut
25,Duke
26,East Carolina
27,Eastern Michigan
28,Florida
29,Florida Atlantic
30,Florida International
31,Florida State
32,Fresno State
33,Georgia
34,Georgia State
35,Georgia Tech
36,Hawaii
37,Houston
38,Idaho
39,Illinois
40,Indiana
41,Iowa
42,Iowa State
43,Kansas
44,Kansas State
45,Kent State
46,Kentucky
47,Louisiana Tech
48,Louisiana Lafayette
49,Louisiana Monroe
50,Louisville
51,LSU
52,Marshall
53,Maryland
54,Memphis
55,Miami
56,Miami (OH)
57,Michigan
58,Michigan State
59,Middle Tennessee
60,Minnesota
61,Mississippi State
62,Missouri
63,Navy
64,NC State
65,Nebraska
66,Nevada
67,New Mexico
68,New Mexico State
69,North Carolina
70,North Texas
71,Northern Illinois
72,Northwestern
73,Notre Dame
74,Ohio
75,Ohio State
76,Oklahoma
77,Oklahoma State
78,Ole Miss
79,Oregon
80,Oregon State
81,Penn State
82,Pittsburgh
83,Purdue
84,Rice
85,Rutgers
86,San Diego State
87,San Jose State
88,SMU
89,South Alabama
90,South Carolina
91,South Florida
92,Southern Miss
93,Stanford
94,Syracuse
95,TCU
96,Temple
97,Tennessee
98,Texas
99,Texas A&M
100,Texas State
101,Texas Tech
102,Toledo
103,Troy
104,Tulane
105,Tulsa
106,UAB
107,UCLA
108,UMass
109,UNLV
110,USC
111,Utah State
112,Utah
113,UTEP
114,UTSA
115,Vanderbilt
116,Virginia
117,Virginia Tech
118,Wake Forest
119,Washington
120,Washington State
121,West Virginia
122,Western Kentucky
123,Western Michigan
124,Wisconsin
125,Wyoming
