Id,Round,Pick,Team,Player
1,1,1,10,
2,1,2,17,
3,1,3,23,
4,1,4,14,
5,1,5,19,
6,1,6,6,
7,1,7,8,
8,1,8,1,
9,1,9,18,
10,1,10,31,
11,1,11,9,
12,1,12,13,
13,1,13,7,
14,1,14,21,
15,1,15,27,
16,1,16,24,
17,1,17,29,
18,1,18,12,
19,1,19,16,
20,1,20,3,
21,1,21,4,
22,1,22,26,
23,1,23,32,
24,1,24,11,
25,1,25,28,
26,1,26,20,
27,1,27,30,
28,1,28,5,
29,1,29,22,
30,1,30,15,
31,1,31,2,
32,1,32,25,
33,2,1,10,
34,2,2,17,
35,2,3,23,
36,2,4,14,
37,2,5,19,
38,2,6,6,
39,2,7,8,
40,2,8,1,
41,2,9,18,
42,2,10,31,
43,2,11,9,
44,2,12,13,
45,2,13,7,
46,2,14,21,
47,2,15,27,
48,2,16,24,
49,2,17,29,
50,2,18,12,
51,2,19,16,
52,2,20,3,
53,2,21,4,
54,2,22,26,
55,2,23,32,
56,2,24,11,
57,2,25,28,
58,2,26,20,
59,2,27,30,
60,2,28,5,
61,2,29,22,
62,2,30,15,
63,2,31,2,
64,2,32,25,
65,3,1,10,
66,3,2,17,
67,3,3,23,
68,3,4,14,
69,3,5,19,
70,3,6,6,
71,3,7,8,
72,3,8,1,
73,3,9,18,
74,3,10,31,
75,3,11,9,
76,3,12,13,
77,3,13,7,
78,3,14,21,
79,3,15,27,
80,3,16,24,
81,3,17,29,
82,3,18,12,
83,3,19,16,
84,3,20,3,
85,3,21,4,
86,3,22,26,
87,3,23,32,
88,3,24,11,
89,3,25,28,
90,3,26,20,
91,3,27,30,
92,3,28,5,
93,3,29,22,
94,3,30,15,
95,3,31,2,
96,3,32,25,
97,4,1,10,
98,4,2,17,
99,4,3,23,
100,4,4,14,
101,4,5,19,
102,4,6,6,
103,4,7,8,
104,4,8,1,
105,4,9,18,
106,4,10,31,
107,4,11,9,
108,4,12,13,
109,4,13,7,
110,4,14,21,
111,4,15,27,
112,4,16,24,
113,4,17,29,
114,4,18,12,
115,4,19,16,
116,4,20,3,
117,4,21,4,
118,4,22,26,
119,4,23,32,
120,4,24,11,
121,4,25,28,
122,4,26,20,
123,4,27,30,
124,4,28,5,
125,4,29,22,
126,4,30,15,
127,4,31,2,
128,4,32,25,
129,5,1,10,
130,5,2,17,
131,5,3,23,
132,5,4,14,
133,5,5,19,
134,5,6,6,
135,5,7,8,
136,5,8,1,
137,5,9,18,
138,5,10,31,
139,5,11,9,
140,5,12,13,
141,5,13,7,
142,5,14,21,
143,5,15,27,
144,5,16,24,
145,5,17,29,
146,5,18,12,
147,5,19,16,
148,5,20,3,
149,5,21,4,
150,5,22,26,
151,5,23,32,
152,5,24,11,
153,5,25,28,
154,5,26,20,
155,5,27,30,
156,5,28,5,
157,5,29,22,
158,5,30,15,
159,5,31,2,
160,5,32,25,
161,6,1,10,
162,6,2,17,
163,6,3,23,
164,6,4,14,
165,6,5,19,
166,6,6,6,
167,6,7,8,
168,6,8,1,
169,6,9,18,
170,6,10,31,
171,6,11,9,
172,6,12,13,
173,6,13,7,
174,6,14,21,
175,6,15,27,
176,6,16,24,
177,6,17,29,
178,6,18,12,
179,6,19,16,
180,6,20,3,
181,6,21,4,
182,6,22,26,
183,6,23,32,
184,6,24,11,
185,6,25,28,
186,6,26,20,
187,6,27,30,
188,6,28,5,
189,6,29,22,
190,6,30,15,
191,6,31,2,
192,6,32,25,
193,7,1,10,
194,7,2,17,
195,7,3,23,
196,7,4,14,
197,7,5,19,
198,7,6,6,
199,7,7,8,
200,7,8,1,
201,7,9,18,
202,7,10,31,
203,7,11,9,
204,7,12,13,
205,7,13,7,
206,7,14,21,
207,7,15,27,
208,7,16,24,
209,7,17,29,
210,7,18,12,
211,7,19,16,
212,7,20,3,
213,7,21,4,
214,7,22,26,
215,7,23,32,
216,7,24,11,
217,7,25,28,
218,7,26,20,
219,7,27,30,
220,7,28,5,
221,7,29,22,
222,7,30,15,
223,7,31,2,
224,7,32,25,
