Id,Name,Position Id,College Id,Grade
1, Luke Joeckel,6,99,95
2, Sharrif Floyd,10,28,94
3, Eric Fisher,6,19,94
4, Chance Warmack,7,3,94
5, Ziggy Ansah,9,16,94
6, Dion Jordan,9,79,94
7, Dee Milliner,13,3,93
8, Lane Johnson,6,76,93
9, Barkevious Mingo,9,51,93
10, Star Lotulelei,10,112,92
11, Tavon Austin,4,121,91
12, Sheldon Richardson,10,62,91
13, John Cyprien,14,30,91
14, Cordarrelle Patterson,4,97,91
15, Arthur Brown,12,44,90
16, Jarvis Jones,11,33,89
17, Larry Warford,7,46,88
18, Bjoern Werner,9,31,88
19, Geno Smith,1,121,88
20, Damontre Moore,9,99,88
21, DeAndre Hopkins,4,21,88
22, Kenny Vaccaro,15,98,88
23, Manti Te'o,12,73,88
24, Jonathan Cooper,7,69,87
25, Keenan Allen,4,17,86
26, Xavier Rhodes,13,31,86
27, Datone Jones,9,107,86
28, D.J. Fluker,6,3,86
29, Jesse Williams,10,3,86
30, Jamar Taylor,13,12,86
31, Cornellius Carradine,9,31,85
32, Alex Okafor,9,98,85
33, D.J. Hayden,13,37,85
34, Menelik Watson,6,31,85
35, Johnthan Banks,13,61,84
36, Desmond Trufant,13,119,84
37, Alec Ogletree,12,33,84
38, Kevin Minter,12,51,84
39, Terron Armstead,6,,84
40, Giovani Bernard,2,69,84
41, Quinton Patton,4,47,84
42, Terrance Williams,4,11,84
43, Johnathan Hankins,10,75,84
44, Tyler Wilson,1,6,84
45, Zac Dysert,1,56,84
46, Tyler Eifert,5,73,83
47, Robert Woods,4,110,83
48, Brandon Jenkins,9,31,83
49, Dallas Thomas,6,97,83
50, Eric Reid,14,51,83
51, Zach Ertz,5,93,82
52, Matt Barkley,1,110,82
53, Eddie Lacy,2,3,82
54, Justin Hunter,4,97,82
55, Markus Wheaton,4,80,82
56, D.J. Swearinger,15,90,81
57, John Jenkins,10,33,81
58, Robert Alford,13,,81
59, Leon McFadden,13,86,81
60, Kawann Short,10,83,81
61, Sylvester Williams,10,69,81
62, Joseph Randle,2,77,81
63, Jordan Reed,5,28,81
64, Travis Kelce,5,20,80
65, Matt Elam,14,28,80
66, Andre Ellington,2,21,80
67, Chase Thomas,11,93,79
68, Mike Glennon,1,64,79
69, Gavin Escobar,5,86,79
70, Stedman Bailey,4,121,79
71, Khaseem Greene,11,85,79
72, Bennie Logan,10,51,79
73, Ryan Nassib,1,94,79
74, Travis Frederick,8,124,79
75, Oday Aboushi,6,116,78
76, Blidi Wreh-Wilson,13,24,77
77, Reid Fragel,6,75,77
78, J.J. Wilcox,14,,77
79, Kyle Long,7,79,77
80, Vance McDonald,5,84,76
81, Quanterus Smith,9,122,76
82, Montee Ball,2,124,76
83, Margus Hunt,9,88,75
84, Marcus Lattimore,2,90,75
85, Shawn Williams,15,33,75
86, David Amerson,13,64,74
87, Da'Rick Rogers,4,,74
88, William Gholston,9,58,74
89, Phillip Thomas,15,32,74
90, Jordan Poyer,13,80,74
91, B.W. Webb,13,,74
92, Tony Jefferson,14,76,73
93, Brandon Williams,10,,73
94, Joe Kruger,9,112,73
95, Tyrann Mathieu,13,51,73
96, Justin Pugh,6,94,73
97, Cobi Hamilton,4,6,73
98, Matt Summers-Gavin,7,17,73
99, Stepfan Taylor,2,93,73
100, Gerald Hodges,11,81,72
101, Johnathan Franklin,2,107,72
102, Josh Boyce,4,95,72
103, Philip Lutzenkirchen,5,9,72
104, Michael Mauti,12,81,72
105, Aaron Dobson,4,52,72
106, Kevin Reddick,12,69,72
107, Christine Michael,2,99,71
108, Everett Dawkins,10,31,71
109, Sam Montgomery,9,51,71
110, Le'Veon Bell,2,58,71
111, Corey Lemonier,9,9,71
112, Zeke Motta,15,73,71
113, Brian Winters,7,45,71
114, Barrett Jones,7,3,71
115, Sean Porter,11,99,71
116, Will Davis,13,111,71
117, Jawan Jamison,2,85,71
118, Khaled Holmes,8,110,71
119, Brian Schwenke,8,17,71
120, Darius Slay,13,61,71
121, Brennan Williams,6,69,71
122, DeVonte Christopher,4,112,71
123, Ray Graham,2,82,71
124, John Simon,9,75,71
125, DeVonte Holloman,11,90,71
126, David Bakhtiari,6,22,71
127, Keith Pough,11,,71
128, Mike Gillislee,2,28,70
129, Denard Robinson,4,57,70
130, Tharold Simon,13,51,70
131, Dennis Johnson,2,6,70
132, Zaviar Gooden,11,62,70
133, Tavarres King,4,33,70
134, Josh Boyd,9,61,70
135, Shamarko Thomas,15,94,70
136, Dustin Hopkins,16,31,70
137, Michael Buchanan,9,39,70
138, Cornelius Washington,11,33,69
139, Kenjon Barner,2,79,69
140, David Quessenberry,6,87,69
141, Javone Lawson,4,48,69
142, Ricky Wagner,6,124,69
143, Cory Grissom,10,91,69
144, Terry Hawthorne,13,39,69
145, Zac Stacy,2,115,69
146, Logan Ryan,13,85,69
147, Michael Williams,5,3,69
148, Jamie Collins,11,92,69
149, Lavar Edwards,9,51,69
150, Nate Williams,9,75,69
151, Montori Hughes,10,,69
152, EJ Manuel,1,31,69
153, Sanders Commings,13,33,69
154, Marquise Goodwin,4,98,69
155, Sio Moore,11,24,68
