id,team_id,need_id
1,8,5
2,8,9
3,8,7
4,8,2
5,15,8
6,15,6
7,15,7
8,15,5
9,15,4
10,15,1
11,25,7
12,25,9
13,25,3
14,25,5
15,1,1
16,1,3
17,1,5
18,1,7
19,1,9
20,21,6
21,21,3
22,21,5
23,21,8
24,21,9
25,3,7
26,3,5
27,3,6
28,3,8
29,4,2
30,4,9
31,4,7
32,4,5
33,4,6
34,4,3
35,6,8
36,6,7
37,6,5
38,6,9
39,6,1
40,6,10
41,12,9
42,12,5
43,12,6
44,5,6
45,5,2
46,5,7
47,5,9
48,19,6
49,19,5
50,19,8
51,19,3
52,20,9
53,20,2
54,20,6
55,20,5
56,20,7
57,30,3
58,30,5
59,30,7
60,30,6
61,30,9
62,11,5
63,11,6
64,11,8
65,11,2
66,17,1
67,17,5
68,17,8
69,17,9
70,17,6
71,10,5
72,10,6
73,10,9
74,10,7
75,10,1
76,13,5
77,13,8
78,13,7
79,13,4
80,32,3
81,32,7
82,32,8
83,22,6
84,22,3
85,22,8
86,22,5
87,27,7
88,27,5
89,27,6
90,27,3
91,27,9
92,16,7
93,16,5
94,16,6
95,16,8
96,18,1
97,18,7
98,18,2
99,18,5
100,18,8
101,23,6
102,23,7
103,23,8
104,23,5
105,23,9
106,23,4
107,23,1
108,14,5
109,14,6
110,14,1
111,14,9
112,29,7
113,29,3
114,29,8
115,29,2
116,29,9
117,29,6
118,9,5
119,9,6
120,9,8
121,9,3
122,2,9
123,2,6
124,2,3
125,2,8
126,2,4
127,28,5
128,28,8
129,28,1
130,28,6
131,28,7
132,24,3
133,24,2
134,24,7
135,24,5
136,7,8
137,7,4
138,7,6
139,7,1
140,7,3
141,31,5
142,31,6
143,31,9
144,31,8
145,31,4
146,26,9
147,26,8
148,26,5
149,26,6
